district,tehsil,tehsil_id,village_count
Agra,Agra,00766,165
Agra,Bah,00770,214
Agra,Etmadpur,00765,122
Agra,Fatehabad,00769,166
Agra,Kheragarh,00768,156
Agra,Kiraoli,00767,180
Aligarh,Atrauli,00754,313
Aligarh,Gabhana,00753,155
Aligarh,Iglas,00756,186
Aligarh,Khair,00752,179
Aligarh,Koil,00755,395
Ambedkarnagar,Akbarpur,00910,337
Ambedkarnagar,Alapur,00908,472
Ambedkarnagar,Bhiti,00911,257
Ambedkarnagar,Jalalpur,00909,313
Ambedkarnagar,Tanda,00907,411
Amethi,Amethi,00914,284
Amethi,Gauriganj,00913,254
Amethi,Musafirkhana,00912,246
Amethi,Tiloi,00824,198
Amroha,Amroha,00730,273
Amroha,Dhanaura,00729,319
Amroha,Hasanpur,00731,379
Amroha,Naugawan Sadat,01056,164
Auraya,Ajitmal,01026,195
Auraya,Auraiya,00842,267
Auraya,Bidhuna,00841,438
Ayodhya,Bikapur,00906,349
Ayodhya,Faizabad,00905,274
Ayodhya,Milkipur,00903,279
Ayodhya,Rudauli,00902,244
Ayodhya,Sohwal,00904,159
Azamgarh,Azamgarh,00966,663
Azamgarh,Burhanpur,00964,478
Azamgarh,Lalganj,00969,459
Azamgarh,Martinganj,01045,208
Azamgarh,Mehnagr,00970,318
Azamgarh,Nizamabad,00967,527
Azamgarh,Phulpur,00968,387
Azamgarh,Sagri,00965,925
Badaun,Badaun,00782,415
Badaun,Bilsi,00780,215
Badaun,Bisuli,00779,304
Badaun,Dataganj,00783,504
Badaun,Sahaswan,00781,287
Bagpat,Baghpat,00736,123
Bagpat,Baraut,00735,170
Bagpat,Kekda,00737,57
Ballia,Balia Sadar,00978,779
Ballia,Bansdih,00979,485
Ballia,Baria,00980,162
Ballia,Belthra Road,00975,282
Ballia,Rasra,00977,397
Ballia,Sikandarpur,00976,253
Balrampur,Balrampur,00925,250
Balrampur,Tulsipur,00926,373
Balrampur,Utrula,00927,370
Banda,Atarra,00873,109
Banda,Baberu,00872,208
Banda,Banda,00871,140
Banda,Nraini,00874,192
Banda,Pailani,01029,119
Barabanki,Fatehpur,00896,391
Barabanki,Haidargarh,00901,369
Barabanki,Nawabganj,00898,386
Barabanki,Ramnagar,00897,239
Barabanki,Ramsnehi pier,00900,264
Barabanki,Siruli Guspur,00899,188
Bareilly,Aonla,00786,366
Bareilly,Baheri,00784,399
Bareilly,Bareilly,00787,417
Bareilly,Faridpur,00789,388
Bareilly,Mirganj,00785,246
Bareilly,Nawabganj,00788,334
Basti,Basti,00939,1089
Basti,Bhanpur,00937,417
Basti,Harraiya,00938,1469
Basti,Rudhauli,00940,277
Behraich,Bahraich,00921,227
Behraich,Kaisarganj,00922,348
Behraich,Mahsi,00920,223
Behraich,Mihinpurwa Motipur,01055,142
Behraich,Nanpara,00919,243
Behraich,Payagpur,01052,193
Bhadohi,Aurai,00999,353
Bhadohi,Bhadohi,00997,433
Bhadohi,Gyanpur,00998,456
Bijnor,Bijnor,00713,549
Bijnor,Chandpur,00716,485
Bijnor,Dhampur,00715,863
Bijnor,Nagina,00714,555
Bijnor,Najibabad,00712,512
Bulandshahar,Anupshahr,00748,140
Bulandshahar,Bulandshahar,00746,248
Bulandshahar,Debye,00749,168
Bulandshahar,Khurja,00751,194
Bulandshahar,Shikarpur,00750,182
Bulandshahar,Siana,00747,184
Bulandshahar,Sikndraabad,00745,142
Chandauli,Chakia,00994,456
Chandauli,Chandauli,00993,377
Chandauli,Mugalsarai,01042,200
Chandauli,Naugarh,01053,139
Chandauli,Sakaldiha,00992,422
Chitrakoot,Karwi,00875,198
Chitrakoot,Manikpur,01031,115
Chitrakoot,Mau,00876,175
Chitrakoot,Rajapur,01032,165
Deoria,Batparrani,00963,354
Deoria,Brhaz,00961,315
Deoria,Deoria,00959,721
Deoria,Rudrapur,00960,293
Deoria,Slempur,00962,540
Etah,Aliganj,01007,242
Etah,Eta,01008,496
Etah,Jlesr,01009,153
Etawah,Bharthana,00839,169
Etawah,Chakarnagar,00840,153
Etawah,Etawah,00838,233
Etawah,Jaswantnagar,00836,101
Etawah,Saifai,00837,74
Etawah,Takha,01013,64
Farrukhabad,Amritpur,00831,172
Farrukhabad,Farrukhabad,00832,405
Farrukhabad,Kaymganj,00830,443
Fatehpur,Bindki,00877,474
Fatehpur,Fatehpur Sadar,00878,601
Fatehpur,Khaga,00879,625
Firozabad,Firozabad,00772,166
Firozabad,Jasrana,00773,203
Firozabad,Shikohabad,00774,190
Firozabad,Sirsaganj,01040,167
Firozabad,Tundla,00771,99
Gbnagar,Dadri,00742,152
Gbnagar,Gautam Buddha Nagar,00743,153
Gbnagar,Jewar,00744,93
Ghaziabad,Ghaziabad,00739,85
Ghaziabad,Loni,01028,50
Ghaziabad,Modinagar,00738,131
Ghazipur,Ghazipur,00989,555
Ghazipur,Jakhania,00987,546
Ghazipur,Kasimabad,01043,469
Ghazipur,Mohammadabad,00990,680
Ghazipur,Saidpur,00988,619
Ghazipur,Sevrai,01051,144
Ghazipur,Zamania,00991,257
Gonda,Colonelganj,00929,386
Gonda,Gonda,00928,586
Gonda,MANKAPUR,00931,465
Gonda,Tarabganj,00930,353
Gorakhpur,Bansgaon,00952,529
Gorakhpur,Campierganj,00948,218
Gorakhpur,Chauri Chaura,00951,215
Gorakhpur,Gola,00954,758
Gorakhpur,Gorakhpur,00950,656
Gorakhpur,Khajni,00953,772
Gorakhpur,Sahjanwa,00949,360
Hamirpur,Hamirpur,00864,196
Hamirpur,Maudaha,00867,180
Hamirpur,Rath,00865,137
Hamirpur,Sarila,00866,119
Hapur,Dhaulana,01019,92
Hapur,GarhMukteshwar,00741,148
Hapur,Hapur,00740,128
Hardoi,Bilgram,00812,376
Hardoi,Hardoi,00811,456
Hardoi,Sandila,00813,406
Hardoi,Shahabad,00809,447
Hardoi,Swayjpur,00810,374
Hathras,Hathras,00759,273
Hathras,Sadabad,00760,134
Hathras,Sasni,00757,115
Hathras,Siknderarau,00758,165
Jalaun,Jalaun,00852,224
Jalaun,Kalpi,00853,243
Jalaun,Konch,00855,277
Jalaun,Madhogarh,00851,253
Jalaun,Orai,00854,161
Jaunpur,Badlapur,00982,407
Jaunpur,Jaunpur,00984,906
Jaunpur,Kerakt,00986,425
Jaunpur,Machhlishahr,00983,506
Jaunpur,Mariahu,00985,681
Jaunpur,Shahganj,00981,550
Jhansi,Garautha,00857,153
Jhansi,Jhansi,00860,183
Jhansi,Mauranipur,00859,153
Jhansi,Moth,00856,219
Jhansi,Tehroli,00858,146
Kannauj,Chhibramau,00833,326
Kannauj,Kannauj,00834,262
Kannauj,Tirwa,00835,163
Kanpurdehat,Akbarpur,00845,175
Kanpurdehat,Bhognipur,00846,224
Kanpurdehat,Derapur,00844,153
Kanpurdehat,Maitha,01050,124
Kanpurdehat,Rasulabad,00843,159
Kanpurdehat,Sikandra,00847,212
Kanpurnagar,Bilhaur,00848,410
Kanpurnagar,Ghatampur,00850,240
Kanpurnagar,Kanpur Sadar,00849,253
Kanpurnagar,Narval,01049,205
Kasganj,Kasganj,01010,251
Kasganj,Patiali,01012,296
Kasganj,Sahawar,01011,181
Kaushambhi,Chayal,00887,268
Kaushambhi,Manjhanpur,00886,315
Kaushambhi,Sirathu,00885,297
Kheri,Dhaurahara,00802,211
Kheri,Gola Gokaran Nath,00799,288
Kheri,Lakhimpur Kheri,00801,388
Kheri,Mitauli,01030,282
Kheri,Mohammadi,00800,332
Kheri,Nighasan,00797,120
Kheri,Palia,00798,154
Kushinagar,Hata,00956,223
Kushinagar,Kaptanganj,01037,172
Kushinagar,Kasya,00957,298
Kushinagar,Khadda,01036,191
Kushinagar,Padrauna,00955,381
Kushinagar,Tamkuhi Raj,00958,385
Lalitpur,Lalitpur,00862,202
Lalitpur,Madawara,01047,133
Lalitpur,Mahruni,00863,146
Lalitpur,Pali,01046,105
Lalitpur,Talbehat,00861,168
Lucknow,Bakshi Ka Talab,00820,219
Lucknow,Lucknow,00821,189
Lucknow,Malihabad,00819,188
Lucknow,Mohanlalganj,00822,230
Lucknow,Sarojini Nagar,01041,132
Maharajganj,Maharajganj (Sadar),00947,396
Maharajganj,Nautanwa,00944,257
Maharajganj,Nichlaul,00945,300
Maharajganj,Pharenda,00946,227
Mahoba,Charkhari,00869,116
Mahoba,Kulpahar,00868,271
Mahoba,Mahoba,00870,137
Mainpuri,Bhogaon,00777,265
Mainpuri,Ghiror,01044,86
Mainpuri,Karhal,00776,171
Mainpuri,Kishni,01033,129
Mainpuri,Kurawali,01054,113
Mainpuri,Mainpuri,00775,98
Mathura,Chata,00761,179
Mathura,Govardhan,01048,93
Mathura,Mahavan,00763,168
Mathura,Mant,00762,268
Mathura,Mathura,00764,197
Mau,Ghosi,00971,335
Mau,Madhuban,00972,354
Mau,Maunath bhanjan,00973,437
Mau,Muhammadabad Gohna,00974,482
Meerut,Mawana,00733,303
Meerut,Meerut Sadar,00734,272
Meerut,Sardhana,00732,145
Mirzapur,Chunar,01003,643
Mirzapur,Lalganj,01001,419
Mirzapur,Marihan,01002,214
Mirzapur,Mirzapur,01000,713
Moradabad,Bilari,00720,341
Moradabad,Kant,00718,203
Moradabad,Moradabad,00719,356
Moradabad,Thakurdwara,00717,313
Muzaffarnagar,Budhana,00709,106
Muzaffarnagar,Janst,00711,209
Muzaffarnagar,Khatauli,00710,122
Muzaffarnagar,Muzaffarnagar,00708,280
Pilibhit,Amariya,01059,201
Pilibhit,Bisalpur,00791,472
Pilibhit,Kalinagar,01057,167
Pilibhit,Pilibhit,00790,281
Pilibhit,Puranpur,00792,322
Pratapgarh,Kunda,00881,507
Pratapgarh,Lalganj,00880,431
Pratapgarh,Patti,00883,543
Pratapgarh,Pratapgarh,00882,424
Pratapgarh,Raniganj,00884,297
Prayagraj,Allahabad,00890,175
Prayagraj,Bara,00891,325
Prayagraj,Handia,00893,621
Prayagraj,Karchna,00892,356
Prayagraj,Koraon,00895,272
Prayagraj,Meja,00894,395
Prayagraj,Phulpur,00889,563
Prayagraj,Soraon,00888,449
Raebareli,Dalmau,00827,213
Raebareli,Lalganj,00826,345
Raebareli,Maharajganj,00823,211
Raebareli,Raebareli,00825,358
Raebareli,Salon,00829,261
Raebareli,Unchahar,00828,221
Rampur,Bilaspur,00725,219
Rampur,Milk,00728,208
Rampur,Rampur,00726,211
Rampur,Shahabad,00727,211
Rampur,Suar,00723,194
Rampur,Tanda,00724,159
Saharanpur,Behat,00701,324
Saharanpur,Deoband,00704,248
Saharanpur,Nakur,00703,404
Saharanpur,Rampur Maniharan,00705,196
Saharanpur,Saharanpur,00702,466
Sambhal,Chandausi,00722,241
Sambhal,Gunnaur,00778,380
Sambhal,Sambhal,00721,422
Santkabirnagar,Ghanghata,00943,536
Santkabirnagar,Khalilabad,00942,608
Santkabirnagar,Mehdawal,00941,487
Shahjahanpur,Jalalabad,00796,236
Shahjahanpur,Kalan,01060,213
Shahjahanpur,Powayan,00793,703
Shahjahanpur,Shahjahanpur,00795,559
Shahjahanpur,Tilhar,00794,640
Shamli,Kairana,00706,108
Shamli,Shamli,00707,126
Shamli,Unn,01039,101
Shravasti,Bhinga,00923,189
Shravasti,Ikauna,00924,188
Shravasti,Jamunaha,01034,153
Sidharthnagar,Bansi,00934,788
Sidharthnagar,Domariyaganj,00936,436
Sidharthnagar,Itwa,00935,460
Sidharthnagar,Naugarh,00933,496
Sidharthnagar,Shohratgarh,00932,368
Sitapur,Biswan,00806,343
Sitapur,Laharpur,00805,324
Sitapur,Mahmoodabad,00807,349
Sitapur,Maholi,01027,303
Sitapur,Misrikh,00803,320
Sitapur,Sidhauli,00808,306
Sitapur,Sitapur,00804,383
Sonbhadra,Duddhi,01006,295
Sonbhadra,Ghorawal,01004,329
Sonbhadra,Obra,01062,119
Sonbhadra,Rabertsganj,01005,625
Sultanpur,Baldirai,01058,211
Sultanpur,Jaisinghpur,00916,378
Sultanpur,Kadipur,00918,370
Sultanpur,Lmbhua,00917,428
Sultanpur,Sultanpur,00915,309
Unnao,Bangarmau,01038,221
Unnao,Bighapur,00818,302
Unnao,Hasanganj,00815,518
Unnao,Purwa,00817,274
Unnao,Safipur,00814,177
Unnao,Unnao,00816,307
Varanasi,Pindra,00995,408
Varanasi,Raja Ka Talab,01035,426
Varanasi,Varanasi,00996,537
